Duration (in seconds),ResponseId,UserExp-AF,Request-AF,UserExp-PP,Request-PP,UserExp-AM,Request-AM,UserExp-AL,Request-AL,State,Law-Awareness,AttEnact-Disc,EnactExplain-Disc,ChangesExplain-Disc,AttEnact-Exp,EnactExplain-Exp,ChangesExplain-Exp,AttEnact-Req,EnactExplain-Req,ChangesExplain-Req,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,AppCategory,AppName
251,R_7EAwFfscboylP4T,2,"1,2,3",1,"3,5,6,8",3,"2,3,5,6,7",3,"1,2,3,5,6",New Jersey,30,1,This seems to fall in line with customer transparency and would help give peace of mind.,none,3,I'm not quite sure i understand the question but i believe limiting privacy usage would be helpful and transparent. ,none,2,I think this would help improve or put customers minds at ease in terms of privacy.,none,2,1,,2,"1,2",,2,,63ea4d3b920d683ac61a1ea0,6806e80aa09de22ad716aebf,6806eb2b8a43a76efcb99f19,shopping,Walmart
413,R_1yjD1RuKAGaYbLd,2,"5,7",2,"6,7",1,"1,2,4,5",1,"1,2,4,5",New Jersey,5,1,This would protect the public's privacy and limit what the company could do with your data.,They will have more opt in choices ,3,this one is a little too vague,i am not sure,2,Makes the sharing/collection of data only necessary in certain situations  and the customer would clearly be aware,They will have more opt in screens,4,1,,2,1,,2,,5f7529755aaa0e1a6e804640,6806e80aa09de22ad716aebf,6806eab5ee202f39e278c281,photo and video,YouTube
584,R_7agbPzWJZRSS3MP,1,"1,2,3,4,5,6,7,8",1,"1,2,3,4,5,6,7,8",1,"1,2,3,7",1,"1,2,4,5,7",Washington,"5,8,9,10,18,20,23,32,43",2,"Limiting data collection to only what's necessary protects individual privacy, reduces the risk of breaches, and holds organizations accountable for ethical data use. In an age of constant digital surveillance, this kind of regulation isn’t just smart, it’s essential.","App developers would need to collect only essential data, reduce app permissions, revise privacy policies, limit data storage, and give users more control over their information.",2,"It ensures user privacy, promotes transparency, and encourages responsible data practices.","App developers will need to collect only necessary data, reduce app permissions, simplify privacy policies, and give users more control over their information.",2," It protects user privacy, reduces security risks, and promotes responsible data use.","Developers will need to limit data collection, reduce permissions, update privacy policies, and ensure users have control over their data.",4,2,,2,1,,2,,67e1907399e8360c4643d698,6806e80aa09de22ad716aebf,6806ea101c94c909b3c79a51,shopping,Walmart
557,R_3irmxD96MaQOeA5,2,4,2,"3,4",2,"4,5",2,"4,5",Illinois,,2,they should be restricted as to how much data they collect on anyone.,just stop using so  much unless it helps the app run smoothly,2,same as before because it should be limited. too easy to hack.,they might have figure another way to keep it running smoothly.,2,same as before because it should be limited data collection.,probably running their apps correctly,5,2,,2,1,,3,,669a92a7634bd2faf6fec077,6806e80aa09de22ad716aebf,6806ea32ef88de7bd38a9ae6,game,Roblox
620,R_3bVkLjtK4TThuZv,2,"1,2,6",2,"3,6,7",2,"5,7",1,"1,2,5,7",florida,,1,the consumer and end user should know exactly how and why their data is being used,not hiding info in long terms and conditions that they know nobody actually reads,2,We all expect businesses or apps we use to safeguard our data,stronger security and better notifications of what info they are collecting and for what purpose,3,I do not fully understand the reasoning,not sure at this time,3,2,,2,1,,2,,674fbcc1aca5e1754c162309,6806e80aa09de22ad716aebf,6806e9364fea7a0cf2d44077,game,Roblox
324,R_7Z7stHS3tDxnlND,2,"1,2,6,7",2,"2,3,5,6,7",2,"1,2,3,4,5,6,7,8",1,"1,2,5,6,7",Arizona,5,1,Privacy concerns ,Be upfront with the customer ,2,Privacy concerns ,Make an opt-out option,2,I agree that an app should collect data but nothing about personal information ,Opt-out option,2,1,,2,3,,2,,67636459c91817e52d97daeb,6806e80aa09de22ad716aebf,6806eb2569d6ae29bcca54d9,food and drink,DoorDash
534,R_7R1Dox0d9iewtMq,2,"5,6",2,"2,3,5",2,"1,2,5,6",2,"2,3",Tennessee,"5,20,45",2,Helps to feel safe and secure ,N/A,2,Keep our data safe and secured ,N/A,2,To help keep the information private and protected ,N/A,2,2,,2,2,,2,,67dd5ced6cb66fa668cf14c1,6806e80aa09de22ad716aebf,6806ea44fb162ab43c8e4678,photo and video,YouTube
522,R_5CesGTGOJWyKbNT,2,3,2,"1,5",4,4,2,"1,2,3",Virginia,,1,Anything that protects the users should be the main focus.,Probably add more security features.,1,It should be that the consumer assumes the information given is not anything really important.,More security,1,I think it should only be done if asked for directly.,"I'm not sure
",4,2,,2,1,,5,,5a4ff86beedc32000141f232,6806e80aa09de22ad716aebf,6806ea5c6a3bd83627f3e98e,finance,Venmo
584,R_3qDyvJl4k4ujTyG,2,"3,5,6,7",2,"3,6,7",1,"3,5,6,7",1,"2,3,6,7",Texas,"6,8,20,23",1,Because it makes users safer and more comfortable using apps. ,"Less data being taken from users, giving all users similar experiences using the app with less personalization. ",1,"The less data taken from users, the better. It keeps people safe and comfortable. ",Nothing,1,With this users are able to use products without having to worry as much about the data collected. ,Nothing,2,1,,2,1,,2,,66553eb5f10b5700001d20de,6806e80aa09de22ad716aebf,6806ea2ce5095656cb238e56,game,Roblox
584,R_6jUy2cqLYegqQfL,2,"5,6,7,8",2,"2,3,6,7",2,"2,3,6,7",2,"2,3,5,6,7",ohio,35,2,They should only collect what they inform us they will. ,"I don't know if they need to change anything, ",2,They should not be collecting data that does involve their app specifically. ,"I am not sure, but I would think monitoring or data colection when their app is specifically not in use would be a good start. ",2,It seems to me that it is already what they do. ,Nothing that Iknow of ,3,2,,1,1,,2,,663aa6420a964c2a7740b9d7,6806e80aa09de22ad716aebf,6806ea23b2a6884169744fe4,photo and video,YouTube
583,R_3cxhxiWlb8YVYL7,2,"2,5",3,"5,7",3,"3,4,5",2,"1,2,3,8",VA,,1,Hundred percent so that people dont become billionaires based on others data,Im not sure,1,So that you are in full control of your data,I am honestly not sure,1,I believe it is ethical to follow the customers request,N/A,2,2,,2,4,,1,,663140c398e19ff9b77d4663,6806e80aa09de22ad716aebf,6806ea23f3cb5bbdb8f18f4b,shopping,Walmart
523,R_6pPYPPfgvEFyTji,1,5,1,5,2,2,1,1,west virginia USA,"2,32,48",1,accurate,installing many data centers,1,Its most applicable,using highly techniqualized tools,1,it is the highly recommeded as far as data minimazitation is concerned,coming up with many ways to minimise data,3,2,,1,1,,2,,67e3126f2bfefc992d4dace9,6806e80aa09de22ad716aebf,6806ea45ca4caae37dab55aa,finance,Venmo
570,R_3qUthIK1CnTjjsM,2,"1,2,3",1,2,2,5,1,"1,2,3,4,5,6,7,8",Idaho,,2,i think this is necessary dor companies to utilize data minimimalisarion. ,I expect an addendum to the terms and confitions,3,"I think this is a rather vague statement. I am not sure how to define ""to a purpose that consumers would reasonably expect."" ",I imagine there will have to be a disclaimer,3,"Again, I find this very vague. ",I would assume there would be some type of a disclaimer ,4,1,,2,1,,2,,602b4083b123902838efd51f,6806e80aa09de22ad716aebf,6806ea39318ae7486e41866a,photo and video,YouTube
555,R_7nMY7T3TIBoXZjd,1,"1,2,3,4,5,6,7,8",2,"2,4,5,6,7",2,"6,7",1,"1,2,3,4,5,6,7,8",Montana,,3,People should have a choice.,I don't know.,3,I don't know.,I don't know.,3,Limits are good.,I don't know.,5,2,,2,1,,3,,60dfd857e293a99dd577f4c8,6806e80aa09de22ad716aebf,6806ea49f10a779fe373c604,game,Roblox
537,R_5n3PfTqhqsIRao1,1,"2,3,4,5,6,7,8",2,"4,5,6,7,8",2,"6,7,8",2,"5,6,7,8",Texas,"19,26,43,45,50",1,"The consumer has a right to know what their data is used for.  It should fully be disclosed, and in a manner that is direct and unambiguous, without long exhausted legal jargon.  ","Simple software changes and being honest and upfront, that's it.",1,"I think it should be at least this, but yes at a minimum it has to be reasonable and expected by the vast majority not just some.",Simple software changes and being honest and forthright.  ,4,"I think it should be much more than this.  Of course they want to maintain the best performance to delver a product or service, but this is not what is alarming to people.",Simple software changes,4,1,,2,1,,2,,67abaea8354491b36337d3a0,6806e80aa09de22ad716aebf,6806ea5f476fce74e14b94be,food and drink,DoorDash
594,R_68TVUTFImtXkDpd,2,"2,3,6,7,8",1,"5,6,7",1,"2,3,5,6,7,8",2,"6,7,8",Indiana,5,1,"I definitely agree, and I think all companies should be transparent about what personal data is being collected and what for.","Developers need to make it obvious when shopping what personal data is being collected, and giving an opt-out to anyone who wishes.",2,"I agree with the statement. Companies and app developers should only use and collect data in a way that most consumers are used to, and not collecting too much information.","They will need to invest in other methods of data collection, like surveys or observations. ",2,"I agree with this statement. Some data collection can be helpful to the customer when shopping, but only to a certain point.",They will need to be more transparent about their data collection purposes and invest in other ways to collect data,2,2,,2,1,,2,,60fee6ac4251e521b4546f1d,6806e80aa09de22ad716aebf,6806ea2db1b7065377bbd272,shopping,Walmart
451,R_36fDiIBcIxRDpuV,1,"1,2,3,4,5,6,7,8",2,"2,3,5,6,7,8",2,"2,5,6",1,"2,3,4,5,6,8",Virginia,"1,30,40,46",1,I believe that a consumer has a right to protect their data collection as well as open to give that right.,Allow each customer to have that option to choose.,1,The customer should be the one giving the okay for data collection.,Giving the customer the option of this choice and if not willing then denying access for the app,2,To some extent yes they may collect data for improving the product but with caution and respect to the customer.,Allowing the consumers to have an option and to be fully transparent about what data they need,1,1,,2,4,,3,,6788d7a7c1543982408eb2eb,6806e80aa09de22ad716aebf,6806eab35664ba827beff52b,photo and video,YouTube
632,R_5ESQFjX1qtWi6gF,2,"2,4,6",1,"1,2,4,5,6",4,"5,7",2,"1,2,5",Nevada,5,2,I think the customer should know when data is being collected. ,Making us agree to these terms once we open the app,2,Data should be collected in the least amount of way that will still let the app work properly. ,Letting people know they are using the least amount of data collection. ,3,I don't agree nor disagree with it. But I feel like using these app's we are allowing any amount of data to be used. ,making sure the least amount is being collected ,3,2,,1,1,,2,,66abc1c82e0fab4f407454a8,6806e80aa09de22ad716aebf,6806ea080da722572deaa023,shopping,Walmart
578,R_7R1nYxTtO1z4PHu,1,"2,3,5,7",1,"1,2,3,4,5",5,7,1,"1,2,4,5",Texas,,1,No information should be allowed to be taken without consumers permission.,Some sort of security feature for the consumer.,1,It's fair. There is no reason they should have a right to take more information than needed.,None. They have to create ways to take more. So it's actually less work for them.,2,They should only take the info they need.,None.,4,2,,2,1,,3,,6643dcdaee723e90ec897171,6806e80aa09de22ad716aebf,6806ea38ec4566977caccb7f,game,Roblox
609,R_3kwf2jSaYq8PrYj,1,"6,7",2,"6,7",2,"6,7",1,"6,7",North Carolina,,1,"Consumers should always know what rights they are signing away. The saying ""If you don't know what the product is, you are the product"" shouldn't be something we just accept. ",Many will probably have to change their TOS disclosures and probably write them in more easy to understand language. ,1,Most consumers don't understand or expect how much data is stolen from them and sold. ,They would have to figure out what is actually reasonably expected from the average consumer and go from there. ,1,Many sites collect data outside of what is necessary for the product to function. An example being something like Instagram or facebook collecting cookies based on what websites I visit on my browser so they can target ads to me. Facebook doesn't need to know that I visited a certain clothing store just so I can check what my aunt posted. ,They would have to stop using things like cookies. ,3,3,,2,1,,5,,663a6537d8be42a9bd890765,6806e80aa09de22ad716aebf,6806ea0c9848490da269d80a,game,Roblox
583,R_6pakLcjvwwly2mE,1,"4,5,7",1,"4,5,6,7",1,"5,7",1,"2,3,4,6,7",Wisconsin,5,3,This is pretty much what is done now. No one reads those statements and there are some apps that don't comply regardless.,"I don't think they would have to make any changes and if so, they add one statement. That's pretty minimal.",3,"Again, pretty sure they do that now. And they could manipulate this statement however they want to- this is the least effective of all three statements. ",I don't think they'd have to do a thing. This is almost an implied statement. ,2,I think this is a fair statement and is reasonable to both the consumer and the maker of the app. Seems like it shouldn't be a ton of work to comply. ,"I would think they would just need to perhaps adjust the information they have, but it shouldn't be that big of a deal as they shouldn't be taking a ton of information anyway. ",4,2,,2,4,,2,,5ae7ea3b77a799000116b43d,6806e80aa09de22ad716aebf,6806ea2d67cde23b7bef3394,food and drink,DoorDash
709,R_6Qy40vKwZQFpBCt,1,"1,5",4,2,1,"1,2,3,5",3,1,North Carolina ,,3,They need to disclose everything ,I don’t know ,2,They shouldn’t have the right to everyone information ,Stop being nosy ,3,It really depends ,I don’t know ,4,2,,2,2,,3,,66815b1c397783d282513fb3,6806e80aa09de22ad716aebf,6806e9aee5095656cb238e4b,photo and video,YouTube
497,R_1Dtnam45UdiU4SJ,1,"1,2,3",2,"2,3,5",2,"5,6,7",3,3,Florida,"5,21,32",1,i believe in full disclosure of data collection purposes and utilization,allow the user to opt in and out of all data collection requests.,2,i think the consumer should be wary of all personal data shared and that companies are ethically bound to disclose their terms and agreements with outside entities to share such data,i think companies should be legally limited on what kind of data they can collect and share.,1,the consumer should not be blind sided with overly long and confusing terms and conditions and should be made aware of all data collection,simplifying user agreement and more data transparency.,5,1,,2,1,,6,,5a0efb83ab721b0001ef8509,6806e80aa09de22ad716aebf,6806ea8cb3d21b5a09c252e9,game,Roblox
621,R_3Qyavt3PSPquFVe,2,5,4,5,4,5,4,5,Washington,"5,6,46",3, agree the act to be enacted only if its for the user benefit,data to be only collected if its for the user benefit,3,I agree the act to be enacted only if its for the user benefit,Avoid taking data for their own use,3, I agree the act to be enacted only if its for the user benefit,Avoid collecting unnecessary data,3,2,,2,1,,1,,67e528f58a34e3ee9e3d0782,6806e80aa09de22ad716aebf,6806ea1d68701cd97c59b914,game,Roblox
587,R_3L1Ke5w8sNua1kx,1,"5,6,7",2,5,1,"1,5",1,"1,3,5,6",California,,1,It is needed to protect the users.,They will have to be more open about their rules.,1,Greatly,None,1,It's needed.,none,6,1,,2,1,,6,,66f5d2424e2c1948e2b8f020,6806e80aa09de22ad716aebf,6806ea33906b1af1b1bdf41b,finance,Venmo
559,R_7Y5rQmndMLjBOjp,4,5,3,"7,8",3,"3,5,6,7",2,"3,5,6,7",NC,,1,The consumer should be made aware of what is being collected.,Open disclosure,2,We need to start somewhere but what consumers would reasonably expect is up for serious debate.,They need to get the answer to the question - reasonably expect.,3,They customer should be able to select whether they want personalization.,Not sure,5,2,,2,1,,2,,6007a7996fbeef04ce080f90,6806e80aa09de22ad716aebf,6806ea00411354a710c016d1,shopping,Walmart
616,R_6VsdHWBm86lH0h7,3,5,3,3,3,3,3,4,Michigan,,2,It keeps people’s info safe. Companies should only take what they tell us about. It helps build trust and protects privacy.,They may need to be more clear about what data they collect and why. They should stop asking for data they don’t need for the job.,2,It helps protect people’s info. Apps should only take what they really need. It makes things more fair and safe for users.,They will need to check what data they collect and stop taking extra info. They should only ask for data people would expect.,2,Apps should not take more info than they need. It helps keep my data safe. I feel better when I know only needed info is used.,They may need to stop asking for too much info. They should check what data they collect and only keep what is needed for the app to work.,2,1,,2,1,,5,,5fd0dc0d8dae67016ed65a54,6806e80aa09de22ad716aebf,6806ea3041ac129259d8aaba,game,Roblox
614,R_3X0bMNxzpEtrXIp,3,1,2,"5,6",2,"1,5,6",1,"5,7",Ohio,"5,21,32,42",2,To protect privacy. So that they are not invading in anything personal regarding the consumer. ,They will have stronger security ,3,"I am neutral because it is regarding expectations, something that is not invasive",security ,3,"I am neutral because sometimes it helps in finding products. Its easier and maybe a new product will pop up that I havnt seen before, ",probably something regarding analytics,1,2,,2,2,,2,,6167abbd7db521535e811eb0,6806e80aa09de22ad716aebf,6806ea314c7663058a68f6c4,photo and video,YouTube
623,R_3fdeU8Tc7G3XEXU,2,1,2,"1,4,5,7",1,"1,2,3,4,5,6,7",1,1,Massachusetts ,"7,32,47",1,Letting someone know you are tracking their data is important.,No,3,Neutral,None,1,I strongly agree because collecting only the necessary data protects user privacy and builds trust.,"Yes, developers would need to adjust data practices to meet the new requirements.",3,2,,2,1,,2,,66b8d74a8ce8e0d943a6b205,6806e80aa09de22ad716aebf,6806ea27f389bbe4d1ad9166,food and drink,DoorDash
608,R_3GN3IWb6ScaSCph,1,"1,2,4",1,"1,4,5,6",2,"1,3,4,5,6",4,"1,6",HAMILTON,"5,6,7,44,46",1,it is important,mant,1,it is okay,none,1,they are meant to protect the data,"a more user friendly interface
",3,1,,2,1,,2,,67cb80521164ff37baa6dbdb,6806e80aa09de22ad716aebf,6806ea34b1a12a1473be9923,photo and video,YouTube
538,R_1RI06WYOFkzUZe9,1,"5,6,7",1,"5,6,7",2,"6,7",1,"6,7",Ohio,5,3,This seems a bit vague. The purpose can be anything and disclosure doesn't necessarily mean consent is obtained in a fair way,I think the purpose has to be explained to consumers in a way that makes its necessity clear,2,I think people have a right to limit how their data is used and to expect it to be used to their intention ,They should have a clear explanation of what data they are collecting and why as well as an option to opt out at default ,2,I think using data to optimize functionality and consumer experience is reasonable as well as it's disclosed and agreed by consumers ,I think creating an opt-in option that is clearly defined will be enough,3,1,,2,2,,2,,6111a1893c0daa13e23ab15a,6806e80aa09de22ad716aebf,6806ea86db3ee6c2e9f180a4,shopping,Walmart
555,R_6fxeRvmgdMXLuM1,1,"1,3,4,5,6",1,"1,2,3,4,5,6,7",1,"1,2,3,4,5,6",2,"1,3,4,5,6",ALASKA,5,1,they should just collect data as what they have informed,be transparent and tell us what you need and stick with it,1,Data gathered must only be used for study. To make applications or services better for all.,Be trustworthy. Be transparent. Be accountable.,1,"Because as a user of these apps like shopping etc, I am truly at a loss of how much data they gather on my app. Are they getting personal info? how are they using it? are they honest? we just don't know.",They have to be thorough in disclosing which data is needed. Like in bullet points. Developers should integrate this so we know which is being collected and which is not.,4,2,,2,4,,2,,67e9c0ac4df4f1277c9a299b,6806e80aa09de22ad716aebf,6806ea7168701cd97c59b91c,shopping,Walmart
586,R_5eP9rqhwSPXSRkl,1,"4,5,6,7",2,"4,5,6,7",2,"4,5,6,7",1,"3,4,5,6,7",Georgia,,4,"In this wording the company could choose not to disclose certain purposes, it's entirely at their discretion ",Not very many considering it seems to be at their discretion what they declare the purpose to be ,3,"The phrasing ""reasonably expect"" is purposely vague, and can be interpreted many different ways potentially. ","No many, as I said above, the phrasing ""reasonably expect"" is purposely vague, the company can argue whatever they want is a reasonable expectation for the consumer. ",2,The consumer is more in control of what they are requesting and what needs to be collected in order for that to be provided. ,Proof that any and all data collected is solely for the purpose of making the product functional and maintain functionality. ,2,2,,2,1,,5,,66d4bd9cfd101c61cccd72fa,6806e80aa09de22ad716aebf,6806ea5a99937a0d2ad1cc0d,game,Roblox
499,R_3loLUxiLqt2OzS1,2,"2,4,5,6",2,"2,3,5",5,"4,5",2,"1,2",Texas,"5,6,11,37",1,The consumer will know what will be disclosed,None,4,"Consumera dont expect...it is not general for all..some do, some not",Ask each consumer,2,An experienced consumer that uses those games will know what info is neceasary to develop a better game,None,5,1,,1,1,,1,,67a577bd526d53b904219c1d,6806e80aa09de22ad716aebf,6806eab10a2508c68208c597,game,Roblox
567,R_1LLpuqFPTmAOz7g,2,"1,2,3,5,6",2,"1,3,4,7",1,"1,2,4,5,8",1,"1,2,4,6",California,5,2,Consumers must be reasonable kept informed,"The more information available to the consumer, the better.",3,The benefit is too minimal,Give consumers more leeways ,2,The above is the least these companies can do for the benefit of their consumers.,Give consumers more room to make decisions about the product.,4,2,,2,2,,1,,63a2844c9d6acbec7228a420,6806e80aa09de22ad716aebf,6806ea6d51e3be9f26aa6590,finance,Venmo
619,R_31NHfVz9P6qPyHn,2,"2,3",3,"3,4",2,7,2,"3,4,5,6,7",Illinois,,2,More customers should be aware of the data that they're giving away.,The app developers will have to be more transparent and have specific screens where it tells the customer what data they're going to use.,2,"Many customers don't know what part of their data is being collected. If data minimization regulation is enacted, more customers would be more aware of what they're getting into.","They will have to lower the amount of data they collect, I would assume.",3,"When a customer uses an app from a company, they should only give out data that is necessary to run the app/service.",I'm not sure.,2,1,,2,4,,2,,665b7b047373d8da553237a6,6806e80aa09de22ad716aebf,6806ea447211704536e46556,shopping,Walmart
620,R_6mWAuk9b8K7zjuo,3,2,2,1,1,2,2,1,New Jersey ,,2,I agree they should always be disclosed ,None ,4,Consumers aren’t very well educated to begin with ,Not much changes to be honest ,2,I think we need to protect consumers from data harvesting ,Collect less data in general ,2,1,,1,4,,1,,6526e6db8f0e2069023a4ba4,6806e80aa09de22ad716aebf,6806ea3e6402d311fe3e1008,food and drink,DoorDash
666,R_1CQoXGw0xaT37Rr,1,"3,5,6,7",1,"3,6,7,8",1,"2,6,7",1,"1,2,3,4,5,6,7,8",Pennsylvania ,38,1,it’s important that they tell me exactly why they need my data upfront ,They would have to be way clearer and more honest about what they’re collecting and what they’re using it for,2,if just feels right that they should take only what they need for the service I am using ,they would probably need to ask for less info from me,1,if i asked for something specific they should only need the info to give me that thing and nothing extra ,they would have to be super clear about exactly why they need each piece of my info for the service i’m using,3,2,,2,1,,3,,664cf2037353bb98801436b5,6806e80aa09de22ad716aebf,6806ea0f41ac129259d8aab2,photo and video,YouTube
507,R_1riuHBV6iMH9dbz,1,"1,2,3,4,5,6,7",2,"2,3,6,7",2,"5,6,7",1,"1,2,3,4,5,6,7",South Carolina,5,1,No big explanation here: transparency is good and important.,They'd simply have to be more transparent in their terms and documentation.,3,"Neutral here again because what consumers would reasonably expect is really, really vague... and consumers are often dumb. This could be played in so many ways.","Who even knows? We've had court arguments that ""no reasonable viewer would think this was news"" while it's obvious the vast viewing base did consider it news. Having to legally regulate based on what a ""consumer would reasonably expect"" feels like complete chaos.",3,"Reasonably necessarily is rather vague and I'd have to have more specifics to really have an opinion, especially on this specific branch of ""providing product/service"". ",Cutting out a lot of data collection and many having to find alternative ways to profit off the app.,3,2,,2,1,,5,,5c695a065416680001bef3c0,6806e80aa09de22ad716aebf,6806eaaf817c8807255e542e,finance,Venmo
634,R_6EalI2vOogTGHIq,1,"2,4,5,6,7",1,"1,2,3,4,5,6,7",5,7,2,7,wyoming,5,1,"this is the gold standard option to me. This is what ""most"" apps/websites have started doing already. Something outside the ""TOC"" that specifically tells me what data it is going to collect and how it will be used / sold.",Apps that do not prompt users at install will need to set this up. They also will need to figure out functionality of their app if / when a customer says no to one of the prompts. ,5,"This is a very vague concept, each user could have their own idea of what is considered ""reasonanble""",NA I think this wording is ambiguous therefore I cannot speculate on changes,2,"If I am using an app that is based on my personal information to function it makes sense that they would collect this information. Thinking things like bank account, and apps that require an account to function like my fitbit, facebook, ect","None, this seems to me the baseline standard when an app is created.",3,2,,2,1,,3,,63c047ef36e1348b19bb8010,6806e80aa09de22ad716aebf,6806e9fecc41a446e4ecbdf9,finance,Venmo
801,R_6Mt9OfZs3XQF28B,1,"1,2,3,4,5,6,7",1,"3,5,6,7",5,"3,6",1,"1,2,3,4,5,6,7,8",Washington,"5,6,7,8,9,14,17,26,27,29,30,37,38,39,42,43,44",1,Companies should allow their user know why they are asking for the particular information if it is really necessary to the use of the app or not.,yes,1,Companies should limit the collection of data that are not necessary with the use of the app,yes,1,If the app is about health related issue then the companies should only ask for health related information.,Yes,3,2,,2,1,,1,,67d82d65382b954d7889dd8e,6806e80aa09de22ad716aebf,6806e97db7d6ef41e8ce95f9,finance,Venmo
598,R_3hrWjMcKzta95iq,2,"3,4,5",1,"2,3,5,6,7",2,"2,5,6,7",2,"2,3,4,5",California,1,1,"I strongly agree with this version of the data minimization regulation as well. The emphasis on a ""purpose they disclose to the consumer"" is a critical addition that enhances transparency and user control. ","Potential Limitations on Feature Scope: If certain features require the collection of data for purposes that are difficult to clearly disclose or justify as reasonably necessary, developers might need to reconsider or limit the scope of those features.",2,"I strongly agree with this refined definition of data minimization. The addition of ""a purpose that consumers would reasonably expect"" is crucial. ","Training and Awareness: Development teams, including designers, engineers, and product managers, would need to be trained on the principles of data minimization, including the aspect of reasonable user expectations.
Potential for More Opt-In Scenarios: In cases where the necessity or user expectation of data collection might be less clear, developers might need to implement more explicit opt-in mechanisms to ensure user awareness and consent.",2,"
Data minimization means that companies are obligated to limit the collection of personal data to what is reasonably necessary and proportionate to provide or maintain a specific product or service requested by the consumer.

Answer the following three questions with this regulation in mind.

Indicate to what extent you agree with the following statement: I believe the data minimization regulation described above should be enacted. 

Please explain your previous response:

What changes, if any, do you think app developers will have to make to comply with this regulation?","Re-evaluate Data Collection Practices: Developers would need to thoroughly analyze what data they currently collect and justify why each piece of information is strictly necessary for the specific features offered. They would need to move away from a ""collect everything we can"" approach.",2,1,,2,1,,1,,67ea9b3cf4ac355d9f1557d0,6806e80aa09de22ad716aebf,6806ea4272744bf96fabc69b,game,Roblox
629,R_79sbE89VSpiZpp7,1,"1,2,3,4,5,6,7",2,"3,5,6,7",4,"5,6,7",2,"5,6,7",Missouri,"16,25",1, strongly agree because the regulation empowers consumers to have better control over their personal data and promotes ethical responsibility among companies,"Clearly define and document the purpose of each type of data they collect.

Limit data collection only to what is directly necessary for delivering a disclosed service or function.",1," strongly agree because data minimization protects users from excessive or invasive data practices that may not be essential for the app’s core functionality. It also builds trust between companies and consumers, ensuring that personal data is only collected and used in ways that users can reasonably expect. ","App developers will need to evaluate all the types of personal data they collect and ensure each data point is tied directly to a necessary and proportionate purpose. They may need to:
 Limit or remove “default” data collection practices that are not clearly necessary.

    Redesign onboarding flows to clearly inform users about what data is being collected and why.
Build better settings or consent mechanisms to let users control optional data sharing.",1, strongly agree because this regulation encourages companies to respect user privacy by collecting only the data that is truly necessary for app functionality,"Conduct audits to determine which data is essential for each feature.

Eliminate unnecessary data collection that isn't tied to a core, expected function.",4,2,,2,1,,2,,674cdbf84ac7af354caa16b4,6806e80aa09de22ad716aebf,6806ea127a61d3169e73809c,shopping,Walmart
568,R_1rDQsgKvBEdHDWh,2,"2,3,5,6,7",1,"1,3,5,6,7",2,"2,5,7",2,"1,2,5,6,7",Ohio,,4,I don't think consumers would really be all that interested. ,They would just have to add a few sentences in small print that most shoppers wouldn't read anyway.,2,It just sounds logical. ,"Again, it think it would be an easy adjustment to make. I didn't really think they did gather unrelated information from the app. Like, when I shop on the app at Walmart, they don't ask for my political affiliation.",2,"I know they need data, but I think it should be a reasonable amount. Not something that is unrelated to the site, but they could sell to others. ","I don't know the process, but imagine it would be easy enough to do. ",5,2,,2,1,,6,,62d0880f5ba6d972d1bfc63c,6806e80aa09de22ad716aebf,6806ea80dd17af949986f2f9,shopping,Walmart
588,R_3nT2A7CAUiokujm,2,"2,5,6,7",2,"2,5,6,7,8",2,"2,5,6,7",2,"2,5,6,7",Ohio,"1,7,9,14,20,21,22,32,33,34,35,39,40,42,43,44,46,47",2,Minimal is best as well as relaying to the customer for clarity,clearer details,2,The less power someone else has over your info the better,less personal info,2,Just enough to allow functionality as well as clearness to consumer,Less info taken,4,2,,2,1,,5,,66293ce3dba0764775195e58,6806e80aa09de22ad716aebf,6806ea67c3fe3b0e4904a52f,shopping,Walmart
631,R_3X0uSFFKtebS3Jv,2,8,2,3,2,3,2,"3,5,6,7",Georgia,"5,6,7,8,9,14,15,17,20,23,26,27,29,30,37,39,42,43,44,46",3,Same as before,Same as before,3,I am on the fence.,The same as before,3,"I see both ways. Some pros would be enhanced privacy, reduced data breach risk & potential cost savings. Cons would include many complexities in identifying unnecessary data.",They may have to redo a lot of work they've already done.,2,2,,2,1,,5,,672d1c12bb3b79252d8a1428,6806e80aa09de22ad716aebf,6806ea3a7a0109de9b19fa04,shopping,Walmart
678,R_5VI0ny7Q3aTSpwO,1,"2,5,6",2,"5,6,7,8",2,"5,6,7",2,"1,2,6,7",ca,47,2,company should be fully disclose to what they collect from people,"state what they collect if any during app installation, and give option to check to see if they agree. if they don't check the boxes then the developer shouldn't collect data on those boxes",2,i think it makes sense personal data should remain personal and not to be used beyond what is required ,none,2,if its used solely maintain service requested then its reasonable ,none,3,1,,2,4,,6,,6631d1814acfe3524a133869,6806e80aa09de22ad716aebf,6806ea144feed3d1262142bc,finance,Venmo
