Duration (in seconds),RecordedDate,App-Func,Product-Pers,Adv-Marketing,Analytics,Att-Enact,Att-Enact-Explain,Changes-Explain,State,Law-Awareness,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Law,AppCategory,AppName
372,4/18/25 9:21,"User ID,Information that uniquely Identifies your Device,Email Address,Phone Number,Payment Info,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about how the App is Performing","User ID,Name,Email Address,Physical Address,Phone Number,Payment Info,Credit Score,Purchase History,In-App Search History,Customer Support,Information about how the App is Performing","Name,Email Address","User ID,Name,Physical Address,Phone Number,Precise Location,Payment Info,Credit Score,Purchase History,In-App Search History,Customer Support,Information about how the user Interacts with the App,Information about how the App is Performing",Strongly Agree,I feel like companies need to be regulated more on how they use data collected from consumers,Be open and transparent about data collection,Indiana,"California,Colorado,Virginia",45-59,Woman,,No,White,,Bachelor's degree,,67f1aa262e5e1c69ddbd8295,67fecb3ede31a76593440504,68027a9cf12fca6ef99f9c95,California,to a purpose that consumers would reasonably expect.,finance,Venmo
454,4/18/25 9:21,"Purchase History,In-App Search History,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","Photos or Videos,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Health","Photos or Videos,Audio Data,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",Strongly Agree,Personal data are confidential which should'nt be collected,NONE,NEW YORK,,45-59,Man,,No,White,,Bachelor's degree,,67f0cabbfe902d6a7d0bb0b4,67fecb3ede31a76593440504,68027a4d9a7a0c6412e57ce4,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
474,4/18/25 9:21,"User ID,Email Address,Customer Support","Information that uniquely Identifies your Device,Physical Address,Coarse Location,Precise Location,Purchase History,In-App Search History,Web Browsing History,Gameplay Content,Information about the Advertisements the user has seen,Health,Fitness,Sensitive Demographic and Biometric Information","User ID,Name,Email Address,Phone Number,In-App Search History,Photos or Videos,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Strongly Agree,I still find data collecting to be scummy and unnecessary.,I think they will have to monitor more carefully what they find most valuable data collecting rather than collecting everything for the most profit.,Florida,"California,Colorado,Florida,Maine,Minnesota,Montana,Vermont",25-34,Man,,No,White,,Associates or technical degree,,6692736dbc79e45d4826a73c,67fecb3ede31a76593440504,68027a3db2f0de50c39fd33d,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
582,4/18/25 9:21,"Gameplay Content,Customer Support,Information about the Advertisements the user has seen,Information about how the App is Performing","Web Browsing History,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Gameplay Content,Customer Support,Information about the Advertisements the user has seen,Information about how the App is Performing","Audio Data,Gameplay Content,Crash Data,Information about how the App is Performing",Strongly Agree,I agree to Company's having limited data on their customers to encourage privacy,Reducing collection of every data of users,North Carolina,"California,Maryland,New Jersey,Tennessee",60-74,Woman,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,67d1c2627e525c6229e828ec,67fecb3ede31a76593440504,680279d15a8245a0fd9413a8,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
283,4/18/25 9:21,"User ID,Name,Email Address,Physical Address,Phone Number,Precise Location,Payment Info,Emails or Text Messages","Purchase History,In-App Search History",,"Purchase History,In-App Search History,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Agree,I don't want my data being used for marketing and advertising purposes. I don't want to get more ads because I used the app.,Not collect information that they share with other businesses.,Utah,,45-59,Woman,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,668c1fc8e311d8d6e3930702,67fecb3ede31a76593440504,68027b00ab6c5ee16d9b5694,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
579,4/18/25 9:21,Web Browsing History,User ID,"Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",User ID,Agree,I agree that data minimization regulation should be enacted.,No changes,Virginia,"California,Colorado,Connecticut,Delaware,Florida,Iowa,Maryland,Montana,Virginia",18-24,Woman,,No,White,,Bachelor's degree,,67d2421fe6f0f38b3ec51cf0,67fecb3ede31a76593440504,680279d07ffc39cc5e6bcae0,California,to a purpose that consumers would reasonably expect.,finance,Venmo
443,4/18/25 9:22,"User ID,Name,Email Address,Phone Number,Contacts,Emails or Text Messages,Information about how the user Interacts with the App,Sensitive Demographic and Biometric Information","User ID,Name,Email Address,Phone Number","User ID,Information that uniquely Identifies your Device,Name,Email Address","User ID,Information that uniquely Identifies your Device,Name,Email Address,Phone Number,Gameplay Content,Information about how the App is Performing",Strongly Agree,It will enhance the privacy of data collected,Do not involve third parties,Kentucky,"California,New York",60-74,Woman,,No,White,,"High school degree or equivalent (e.g., GED)",,67ef21ae7fccd6abc9c06e7c,67fecb3ede31a76593440504,68027a463f0adc2a418ed879,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
480,4/18/25 9:22,"In-App Search History,Web Browsing History,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","Payment Info,Photos or Videos,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","Web Browsing History,Information about how the user Interacts with the App,Information about how the App is Performing",Strongly Agree,Data disclosure should be minimized to its purpose,to minimize on collection of personal data form users,Illinois,"California,Connecticut,Delaware,Maine,Maryland,New York,Oregon,Vermont",25-34,Woman,,Yes,Black or African American,,Bachelor's degree,,67e80d9c531ffb8fecc5da8a,67fecb3ede31a76593440504,68027a3932c876e1cea47631,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
379,4/18/25 9:22,"Contacts,Payment Info,Credit Score,Crash Data","User ID,Information that uniquely Identifies your Device,Name,Email Address,Physical Address,Phone Number,Contacts,Payment Info,Purchase History,In-App Search History,Web Browsing History,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing,Sensitive Demographic and Biometric Information","User ID,Name,Email Address,Physical Address,Phone Number,Contacts,Payment Info,Purchase History,In-App Search History,Web Browsing History,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing,Health,Sensitive Demographic and Biometric Information","User ID,Name,Email Address,Physical Address,Phone Number,Contacts,Purchase History,In-App Search History,Web Browsing History,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing,Sensitive Demographic and Biometric Information",Agree,It reduces the risk of personal data breaches.,None,Virginia,"California,Colorado,Connecticut,Delaware,Florida,Kentucky,Maryland,Minnesota,Montana,New Hampshire,Oregon,Tennessee,Utah,Virginia",45-59,Man,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,67f30f964964cf3f7cb3d4ad,67fecb3ede31a76593440504,68027a91b5293328c2ae2bd2,California,to a purpose that consumers would reasonably expect.,shopping,Walmart
349,4/18/25 9:22,"Information that uniquely Identifies your Device,Purchase History","User ID,Information that uniquely Identifies your Device,Purchase History",Purchase History,"User ID,Information that uniquely Identifies your Device,Purchase History",Agree,I think they should only get what is reasonably necessary.,A lot of changes are needed because they probably collect unnecessary things currently.,California,,35-44,Man,,Yes,"White,Native American or Alaska Native",,Bachelor's degree,,5fba9fdd33207faa35f61df3,67fecb3ede31a76593440504,68027ad4d7b69821bf25a81c,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
257,4/18/25 9:22,"Information that uniquely Identifies your Device,Information about how the user Interacts with the App,Information about how the App is Performing","Coarse Location,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Coarse Location,Purchase History","Information that uniquely Identifies your Device,Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,Minimizing data collected helps preserve privacy by making sure companies prioritize collecting only the information they need and carefully considering why they need it.,Finer-grained control over data collection and permissions,New York,,18-24,Man,,No,Asian,,Bachelor's degree,,6676eb26975fa364a4c5fb79,67fecb3ede31a76593440504,68027b30e3814c9bd7f26dea,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
326,4/18/25 9:22,"Name,Phone Number,Payment Info,Purchase History,Customer Support,Emails or Text Messages","User ID,Email Address,Physical Address,Phone Number,Coarse Location,Precise Location,Payment Info,Customer Support,Emails or Text Messages","User ID,Name,Email Address,Physical Address,Phone Number,Coarse Location,Payment Info,Customer Support,Emails or Text Messages","User ID,Name,Email Address,Physical Address,Phone Number,Coarse Location,Precise Location,Payment Info,Customer Support,Emails or Text Messages",Neutral,,,virginia,"Georgia,Virginia",45-59,Man,,No,Black or African American,,"High school degree or equivalent (e.g., GED)",,677e5bad4d8c2c5b61965ec3,67fecb3ede31a76593440504,68027aec4c447537727ac71c,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
500,4/18/25 9:22,"Precise Location,Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","Physical Address,Precise Location,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Credit Score,Purchase History,In-App Search History,Web Browsing History,Health,Fitness","Physical Address,Precise Location,Contacts,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Strongly Agree,Consumers should only share the data they feel free to share without being pushed to do so. ,None,Texas,"California,Maryland,Minnesota,Vermont",18-24,Woman,,No,White,,Bachelor's degree,,67e24e90c34339254575ff23,67fecb3ede31a76593440504,68027a47dd4187ecfbd77a8a,California,to a purpose that consumers would reasonably expect.,finance,Venmo
576,4/18/25 9:22,"User ID,Name,Physical Address,Phone Number,Payment Info","Purchase History,In-App Search History,Web Browsing History,Information about the Advertisements the user has seen","Precise Location,Purchase History,In-App Search History,Web Browsing History,Information about the Advertisements the user has seen,Sensitive Demographic and Biometric Information","Precise Location,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",Agree,"The companies  dont need to know everything the consumer,just a few basics.","Let the consumer volunteer any info that may be needed,not required.",Florida,California,45-59,Man,,No,White,,Some college but no degree,,6761e60b87d438f41ca0a240,67fecb3ede31a76593440504,68027a03fc829bedbd664ae3,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
569,4/18/25 9:22,"User ID,Information that uniquely Identifies your Device,Email Address,Crash Data,Information about how the App is Performing","User ID,Coarse Location,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Coarse Location,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","In-App Search History,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,"I believe that companies too often collect much more data from us than needed, and regulation should be enacted to limit such things. I always worry when companies get hacked for example, what data they have about me. Companies should limit themselves to only what is absolutely needed so that the fallout of such events is much less than if they had very sensitive info that they don't need.",I think app developers will have to change what and how much information they have to work with when personalizing content to users.,Wisconsin,California,35-44,Woman,,No,Asian,,Bachelor's degree,,63d152150ad28a2b24aa507a,67fecb3ede31a76593440504,68027a074257ce5c7416cb7d,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
451,4/18/25 9:22,"Customer Support,Crash Data,Information about how the App is Performing","User ID,Email Address,In-App Search History,Information about how the user Interacts with the App,Information about how the App is Performing","User ID,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Strongly Agree,People using apps and sites deserve to have their personal information protected. Online business doesn’t need information it can sell or to know more about the consumer that is necessary.,I don’t know for sure because I don’t understand the extent of these businesses. Registering for any app for creating an account may have to be simplified and agreements between the business and users might have to be more stringent.,Utah,,60-74,Woman,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,5efa12cba7e3ee0b5bce95af,67fecb3ede31a76593440504,68027a839df390a147053c64,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
521,4/18/25 9:22,"Information that uniquely Identifies your Device,Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","User ID,Information that uniquely Identifies your Device,Coarse Location,In-App Search History,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing,Sensitive Demographic and Biometric Information","User ID,Information that uniquely Identifies your Device,Coarse Location,Purchase History,In-App Search History,Information about the Advertisements the user has seen","Information that uniquely Identifies your Device,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,I think some data should be kept from app developers if they don't absolutely need said data for the app to perform correctly. c,Turn off certain data collection parameters within the app. ,Michigan,,35-44,Man,,No,White,,"High school degree or equivalent (e.g., GED)",,67007d655b10fbe2d93c3508,67fecb3ede31a76593440504,68027a39957b9339ff9fcc77,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
503,4/18/25 9:22,"User ID,Information that uniquely Identifies your Device,Name,Email Address,Phone Number,Payment Info,Credit Score,Purchase History","Photos or Videos,Audio Data,Customer Support,Information about how the App is Performing","Photos or Videos,Customer Support,Information about how the user Interacts with the App,Information about how the App is Performing","User ID,Audio Data,Information about how the user Interacts with the App,Information about how the App is Performing",Strongly Agree,inorder to safeguard and protect each onesprivate information,yes,california,California,18-24,Woman,,No,White,,Bachelor's degree,,67e43d8f409802c381ab259f,67fecb3ede31a76593440504,68027a54963923c08ff6b7af,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
289,4/18/25 9:22,"User ID,Information that uniquely Identifies your Device,Email Address,Coarse Location,Purchase History,In-App Search History,Information about how the user Interacts with the App","User ID,Coarse Location,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","User ID,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Coarse Location,In-App Search History,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,"I think data privacy is important and I don't think companies should be collecting more data than needed from consumers. If they are, they need to let consumers know so they can be compensated or opt-out.",I think they will have to change saving and storing information. I don't think they would be massive changes since it is rolling back features rather than creating net new features.,Washington,Washington,25-34,Man,,No,"White,Asian",,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,628eada3a9c9e0776884f27d,67fecb3ede31a76593440504,68027b34c60a4cad14e9a8f2,California,to a purpose that consumers would reasonably expect.,finance,Venmo
592,4/18/25 9:22,"Information that uniquely Identifies your Device,Name,Coarse Location,Precise Location,Audio Data,Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","Physical Address,Phone Number,Precise Location,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App","Email Address,Physical Address,Phone Number,Precise Location,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App","Name,Email Address,Coarse Location,Precise Location,In-App Search History,Audio Data,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing",Strongly Agree,I agree and don't want these companies to be able to view and keep all of our data. Keep it at a fair minimum.,I guess that they can make and install some type of blocking feature.,Illinois,,60-74,Man,,No,Black or African American,,Some college but no degree,,67a3c330ba64a132f9de6787,67fecb3ede31a76593440504,68027a005977d4f5a1d6f003,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
632,4/18/25 9:23,"Coarse Location,Precise Location,Photos or Videos,Audio Data,Gameplay Content,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","User ID,Information that uniquely Identifies your Device,Name,Physical Address,Coarse Location,Precise Location,Purchase History,In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Sensitive Demographic and Biometric Information","Coarse Location,Purchase History,In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Sensitive Demographic and Biometric Information","Physical Address,Coarse Location,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing",Disagree,I don't think that the government is capable of justly implementing this law and there is a great possibility of abuse.,I'm not sure they can.,CO,,45-59,Man,,No,White,,Bachelor's degree,,639e0331bc3cc615f5a3dd89,67fecb3ede31a76593440504,680279db6f4f842b7ef37a16,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
525,4/18/25 9:23,"Email Address,Precise Location,Photos or Videos,Information about how the user Interacts with the App,Health,Fitness","User ID,Information that uniquely Identifies your Device,Precise Location,Audio Data,Information about the Advertisements the user has seen,Sensitive Demographic and Biometric Information","User ID,Email Address,Gameplay Content,Fitness","User ID,Information that uniquely Identifies your Device,Name,Contacts,Photos or Videos,Audio Data,Gameplay Content,Customer Support,Emails or Text Messages,Health",Strongly Agree,because its inappropriate to collect users personal data without their permission ,to ask for users permission ,utah,"Alabama,Arizona,Delaware,Florida,Hawaii,Idaho,New York",45-59,Woman,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,674dcf86d562257d64750471,67fecb3ede31a76593440504,68027a3f36d87d95f66b4763,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
356,4/18/25 9:23,"User ID,Information that uniquely Identifies your Device,Name,Email Address,Purchase History","Precise Location,Purchase History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Purchase History,Web Browsing History","Name,Physical Address,Coarse Location,Precise Location,Contacts,Purchase History,In-App Search History,Web Browsing History,Audio Data",Strongly Agree,I do not want to share too much info since my info may be sold or lacked.,Reduce info require and secure the info they collected.,Oregon,"Colorado,Oregon,Virginia",35-44,Man,,No,Asian,,Bachelor's degree,,67e6ab0195afe547df3e3f34,67fecb3ede31a76593440504,68027b004493abfa5870d1d0,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
527,4/18/25 9:23,"User ID,Physical Address,Purchase History,Photos or Videos,Audio Data,Gameplay Content,Health,Sensitive Demographic and Biometric Information","Name,Email Address,Physical Address,Phone Number,Credit Score,Information about how the App is Performing,Sensitive Demographic and Biometric Information","User ID,Information that uniquely Identifies your Device,Name,Physical Address,Precise Location,Purchase History,In-App Search History,Photos or Videos,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Information about how the App is Performing,Sensitive Demographic and Biometric Information","User ID,Precise Location,Purchase History,In-App Search History,Photos or Videos,Audio Data,Gameplay Content,Customer Support,Health,Fitness",Strongly Agree,I look out for the exact information that should be placed at the right place like the personalized information,Not keeping essential information,California,"California,Florida,New York",45-59,Man,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,629af8d19ec0e46b3623312c,67fecb3ede31a76593440504,68027a4c7451a0c81344d601,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
249,4/18/25 9:23,"User ID,Information that uniquely Identifies your Device,Name,Email Address,Coarse Location,Payment Info,Photos or Videos,Audio Data,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing,Sensitive Demographic and Biometric Information","Payment Info,Photos or Videos,Audio Data,Gameplay Content,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Purchase History,In-App Search History,Web Browsing History,Photos or Videos,Audio Data,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing,Sensitive Demographic and Biometric Information","Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing",Strongly Agree,Companies should not be collecting more data than they absolutely need and should definitely not be sharing data with any other entity. ,,Nebraska,,45-59,Woman,,No,"White,Black or African American,Native American or Alaska Native",,Bachelor's degree,,66d7b253c64eb18aa549d79c,67fecb3ede31a76593440504,68027b6d2d150856fae25027,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
500,4/18/25 9:23,"User ID,Name,Email Address,Physical Address,Phone Number,Precise Location,Payment Info,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","User ID,Name,Email Address,Physical Address,Phone Number,Precise Location,Payment Info,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about how the App is Performing","User ID,Name,Email Address,Physical Address,Phone Number,Precise Location,Payment Info,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","User ID,Name,Email Address,Physical Address,Phone Number,Payment Info,Information about how the user Interacts with the App,Information about how the App is Performing",Strongly Agree,I believe too much personal information is being requested from many apps. People should be able to protect much of this information.,Limit the amount of information they require.,Iowa,,60-74,Man,,No,White,,Some college but no degree,,66bea02c6d557029fc8f99bc,67fecb3ede31a76593440504,68027a74f813382f60fe6548,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
418,4/18/25 9:23,"Information that uniquely Identifies your Device,In-App Search History,Audio Data,Customer Support,Information about how the user Interacts with the App,Information about how the App is Performing","Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","Physical Address,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Information that uniquely Identifies your Device,Email Address,Purchase History,In-App Search History,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Strongly Agree,The information is used to make the data shared as minimal as possible ,Not much I think,Pennsylvania,,45-59,Woman,,No,White,,Associates or technical degree,,645a9e5eb7c78e0ec07bfdc3,67fecb3ede31a76593440504,68027acc41bfda89b2e060fc,Procedural,to a purpose they disclose to the consumer.,food and drink,DoorDash
267,4/18/25 9:23,"Crash Data,Information about how the App is Performing","Purchase History,In-App Search History","Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Neutral,I would like to do some more research into this before I determine if it should be enacted or not.,Not sure,NC,,60-74,Woman,,No,White,,Bachelor's degree,,65ecf22abc066fbabecdea60,67fecb3ede31a76593440504,68027b695a8245a0fd9413e5,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
337,4/18/25 9:23,"Name,In-App Search History,Photos or Videos,Customer Support,Information about how the App is Performing,Fitness","Physical Address,Precise Location,Payment Info,Information about how the user Interacts with the App,Crash Data","User ID,Email Address,Purchase History,Photos or Videos,Emails or Text Messages,Information about how the user Interacts with the App","Physical Address,Precise Location,Purchase History,Audio Data,Information about how the App is Performing,Sensitive Demographic and Biometric Information",Agree,"It supports ethical practices and builds consumer trust while balancing business needs.








","They'll also need to revise privacy policies, minimize background data tracking, and implement stricter data access controls.







",Louisiana,Louisiana,18-24,Man,,No,White,,Bachelor's degree,,67f1efac356ff38124712996,67fecb3ede31a76593440504,68027b14be33365e2c0da7c8,California,to a purpose that consumers would reasonably expect.,game,Roblox
396,4/18/25 9:23,"Crash Data,Information about how the App is Performing","Coarse Location,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Information about the Advertisements the user has seen,"Crash Data,Information about how the App is Performing",Strongly Agree,"Companies should not be allowed to collect data from their users, unless they specifically tell them what they are doing, and then give them the chance to opt out.","Be transparent about when data is collected, and how it is used.",Michigan,,60-74,Woman,,No,White,,Some college but no degree,,5c0fcccc1f6f150001487111,67fecb3ede31a76593440504,68027af0351ad0b69dd6fc21,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
294,4/18/25 9:23,"Coarse Location,Payment Info,In-App Search History,Information about how the user Interacts with the App,Crash Data","User ID,Purchase History,Web Browsing History","In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Agree,They shouldnt be able to collect all our data,"stop collecting sensitive information
",missouri,Missouri,25-34,Woman,,No,White,,"High school degree or equivalent (e.g., GED)",,59f0f82ce75b450001a699ad,67fecb3ede31a76593440504,68027b561907eaaf69cec501,California,to a purpose that consumers would reasonably expect.,shopping,Walmart
282,4/18/25 9:23,"User ID,Crash Data","User ID,Purchase History,In-App Search History,Web Browsing History,Information about how the user Interacts with the App","User ID,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","User ID,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Agree,I think it ensures that data is only used for the stated purpose and not for anything else.,I think they will have to be more careful when it comes to users data in order to comply with this regulation.,OH,California,18-24,Woman,,No,Other,Middle Eastern,Some college but no degree,,655f8b959477c803eb906622,67fecb3ede31a76593440504,68027b6a8e14888474b64d9f,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
331,4/18/25 9:23,"Information about how the user Interacts with the App,Information about how the App is Performing",Customer Support,"Customer Support,Information about how the App is Performing","Customer Support,Information about how the user Interacts with the App,Information about how the App is Performing",Agree,I don't think collection of personal data should be used; It is too invasive and could lead to data breaches,Ensure encryption protocols are in place; make sure users data is secure,California,,60-74,Woman,,No,"White,Asian",,Bachelor's degree,,65e127e2e4b6853859b66b09,67fecb3ede31a76593440504,68027b39c5792239631f7b50,California,to a purpose that consumers would reasonably expect.,finance,Venmo
314,4/18/25 9:23,,"User ID,Purchase History,In-App Search History","User ID,Purchase History,In-App Search History,Web Browsing History",,Agree,"I dont think it is fair that every company selling us a tech product is also trying to use that sale to forcing us to give them our data so they can sell that as well. I just got a new Samsung TV and I had to turn off the option to track my data out of the box. I don't believe these companies have ""reasonable"" rights to any of our data other than our user name and inapp search history to help make suggestions. ",Figure out ways of making money without collecting and selling people's personal data. Regulations like this are very much needed. ,Florida,,35-44,Man,,No,White,,Some college but no degree,,67178054a368314e6afa5ed4,67fecb3ede31a76593440504,68027b4294c5e0b1eda00835,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
517,4/18/25 9:23,"User ID,Information that uniquely Identifies your Device,Name,Coarse Location,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","User ID,Information that uniquely Identifies your Device,Name,Coarse Location,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Information that uniquely Identifies your Device,Coarse Location,In-App Search History,Web Browsing History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","User ID,Information that uniquely Identifies your Device,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Agree,I think this will help protect the user's privacy and data. It will provide good guidelines for companies to follow and enforce. ,They won't have the wildwest of freedom when it comes to obtaining data. They will have to be more thoughtful and tactful about what data they request from users. ,Nebraska,,25-34,Man,,No,White,,Bachelor's degree,,5fe4394bc5f99b194c31318b,67fecb3ede31a76593440504,68027a324b41a8ed24f7dfdc,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
572,4/18/25 9:23,"Crash Data,Information about how the App is Performing",Information about how the user Interacts with the App,"Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,companies shouldn't be collecting any data that they can profit from. If they need diagnostics on how their item operates that's fine but there should be no profit motives from user data.,they will have to collect less data and be more transparent with what data they collect and why. ,Florida,,45-59,Man,,No,White,,Bachelor's degree,,6298f0e21abd78cb684b723c,67fecb3ede31a76593440504,68027a4e2d6fc2c5d5f3093b,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
